	Characidium_zebra	Pyrrhulina_australis	Hemigrammus_neptunus	Cyphocharax_gillii	Steindachnerina_brevipinna	Hoplias_malabaricus	Bryconops_melanurus	Acestrorhynchus_pantaneiro	Xenurobrycon_macropus	Piabarchus_torrenticola	Bryconamericus_exodon	Knodus_chapadae	Phenacogaster_jancupa	Phenacogaster_tegatus	Aphyocharax_dentatus	Serrapinnus_microdon	Odontostilbe_pequira	Serrapinnus_calliurus	Hyphessobrycon_herbertaxelrodi	Moenkhausia_oligolepis	Hyphessobrycon_eques	Astyanax_lineatus	Hemigrammus_machadoi	Gymnocorymbus_ternetzi	Poptella_paraguayensis	Jupiaba_acanthogaster	Psellogrammus_kennedyi	Astyanax_lacustris	Moenkhausia_bonita	Ituglanis_eichorniarum	Callichthys_callichthys	Corydoras_hastatus	Corydoras_aeneus	Corydoras_areio	Corydoras_polystictus	Rineloricaria_aurata	Farlowella_isbruckeri	Rineloricaria_lanceolata	Ancistrus_cuiabae	Hypostomus_boulengeri	Hypostomus_khimaera	Pterobunocephalus_depressus	Trachelyopterus_galeatus	Pimelodella_gracilis	Rhamdia_quelen	Imparfinis_stictonotus	Phenacorhamdia_hoehnei	Chaetobranchopsis_australis	Crenicichla_lepidota	Cichlasoma_dimerus	Bujurquina_vittata	Aequidens_plagiozonatus	Apistogramma_commbrae	Melanorivulus_zygonectes
Characidium_zebra	0	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	83.077781	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Pyrrhulina_australis	83.077781	0	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	89.075604	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Hemigrammus_neptunus	83.077781	89.075604	0	141.790592	96.699521	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Cyphocharax_gillii	83.077781	89.075604	141.790592	0	96.699521	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Steindachnerina_brevipinna	83.077781	89.075604	96.699521	96.699521	0	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	91.983419	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Hoplias_malabaricus	83.077781	89.075604	91.983419	91.983419	91.983419	0	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	95.679234	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Bryconops_melanurus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	0	111.520917	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Acestrorhynchus_pantaneiro	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	111.520917	0	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	108.252827	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Xenurobrycon_macropus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	0	142.184656	142.184656	142.184656	122.167157	122.167157	122.167157	122.167157	122.167157	122.167157	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Piabarchus_torrenticola	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	142.184656	0	165.184498	165.184498	122.167157	122.167157	122.167157	122.167157	122.167157	122.167157	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
