spe	Sp1	Sp2	Sp4	Sp6	Sp7	Sp11	Sp15	Sp17	Sp19	Sp22	Sp25	Sp26	Sp27	Sp28	Sp36	Sp48	Sp50	Sp55	Sp56	Sp62	Sp63	Sp64	Sp67	Sp68	Sp72	Sp74	Sp75	Sp5	Sp13	Sp12	Sp21	Sp32	Sp40	Sp51	Sp85	Sp54	Sp3	Sp10	Sp14	Sp16	Sp20	Sp24	Sp29	Sp30	Sp31	Sp42	Sp43	Sp46	Sp57	Sp58	Sp59	Sp70	Sp78	Sp80	Sp83
Sp1	1	1.5	1	3	3	1.5	2	1.5	2	3	2	1.5	2	3	3	1.5	1.5	2	2	2	1.5	1.5	2	1.5	2	2	1.5	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp2	2	1	2	3	3	2	1.5	2	2	3	2	2	1.5	3	3	2	2	2	1.5	2	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp4	1.5	2	1	3	3	1.5	2	1.5	2	3	2	1.5	2	3	3	1.5	1.5	2	2	2	1.5	1.5	2	1.5	2	2	1.5	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp6	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp7	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp11	1.5	2	1.5	3	3	1	2	1.5	2	3	2	1.5	2	3	3	1.5	1.5	2	2	2	1.5	1.5	2	1	2	2	1.5	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp15	2	1.5	2	3	3	2	1	2	2	3	2	2	1.5	3	3	2	2	2	1.5	2	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp17	1.5	2	1.5	3	3	1.5	2	1	2	3	2	1.5	2	3	3	1.5	1.5	2	2	2	1	1.5	2	1.5	2	2	1.5	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp19	2	2	2	3	3	2	2	2	1	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Sp22	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
